title,link,artist,year,classification,related_location,medium,dimensions,credit_line,copyright_status,cleaned_year,continent,country
"Facade of Melnikov's Soviet Pavilion, International Exhibition of Modern Decorative and Industrial Arts, Paris",https://marble.nd.edu/item/2014.041.002,Alexander Rodchenko Russian 1891 1956,1925,Photographs,"Europe, Russia",Gelatin silver print,9 x 2 1/2 in. (22.9 x 6.4 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1925,Europe,
Portrait of the Artist François Boucher,https://marble.nd.edu/item/2014.061.017,attributed to JeanBaptiste Mass French 1687 1767 Formerly attributed to CharlesAntoine Coypel French 1694 1752,ca. 1745,Drawings,Europe,"Black, red, and white chalk on card",5 3/4 x 5 1/2 in. (14.61 x 13.97 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1745,Europe,
"Mrs. Coretta King Comforting Her Daughter, Bernice, at the Funeral of Martin Luther King, Jr.",https://marble.nd.edu/item/2014.047.004,Moneta J Sleet Jr American 1926 1996,1968,Photographs,,Gelatin silver print from wire photograph,8 1/4 x 7 3/4 in. (21.1 x 19.7 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1968,,
Verso: Study of a Hand Clenching a Cylinder,https://marble.nd.edu/item/2014.061.343.b,JosephMarie Vien the Elder French 1716 1809,ca. 1750,Drawings,Europe,Red chalk on laid paper,21 1/4 x 19 in. (53.82 x 48.26 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1750,Europe,
The Glorious Sextumvirate,https://marble.nd.edu/item/2015.001.017,James Barry Irish 1741 1806,1795/1800/1808,Prints,,Etching and engraving in black ink on wove paper,39 1/2 x 27 1/2 in. (100.33 x 69.85 cm),Terry and Margaret Stent Fund,Public domain,1795,,
"Taconite Mining, Minnesota",https://marble.nd.edu/item/2015.053.007,Terry Evans American 1944,2015,Prints,,Lithograph on paper and mylar,21 x 20 1/2 in. (53.34 x 52.07 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,2015,,
Untitled from Wild West Series,https://marble.nd.edu/item/2017.050.046,David Levinthal American b 1949,1998,Photographs,,Dye diffusion transfer print,20 x 24 in. (50.8 x 61 cm),Gift of an anonymous donor,Copyright NEL,1998,,
Two Hands - Heart Eye [Right Panel - Eye],https://marble.nd.edu/item/2019.016.226.b,Jim Dine American b 1935,1986,Prints,,Etching with hand coloring,42 5/8 x 25 5/8 in. (108.27 x 65.09 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1986,,
Bandolier Bag,https://marble.nd.edu/item/2019.017.022,Unrecorded Potawatomi artist,mid to late 20th century,Apparel and Adornments,"North America, United States, Great Lakes Region","Cloth, beadwork, bells",39 x 19 1/4 x 3/4 in. (99.06 x 48.9 x 1.91 cm),Gift of Jerry Cooper,Public domain,2027,North America,United States
Punch & Judy Stick It,https://marble.nd.edu/item/2019.028.028,Margaret Bailey Doogan American b 1941,1986,Prints,,Color lithograph,22 3/8 x 30 1/8 in. (56.83 x 76.52 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,1986,,
Rose,https://marble.nd.edu/item/2019.028.005,Aaron Fink American,2006,Prints,,Color lithograph with watercolor enhancement,10 x 13 in. (25.4 x 33.02 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,2006,,
"31st Eucharistic Congress Assembly in O'Connell Street, Dublin",https://marble.nd.edu/item/2024.001.019,Father Francis Browne SJ Irish 1880 1960,26-Jun-32,Photographs,,Gelatin silver print,15 3/4 x 11 3/8 in. (40 x 28.8 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1932,,
"First Aid in the Trenches, Wytschaete, West Flanders, Belgium",https://marble.nd.edu/item/2024.001.081,Father Francis Browne SJ Irish 1880 1960,17-Jun,Photographs,,Gelatin silver print,11 3/8 x 15 3/4 in. (29 x 40 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,2017,,
Buffalo Horn Spoon,https://marble.nd.edu/item/AA1995.046.009,Unrecorded Sioux artist,mid-19th century,"Tools, Implements, and Weights",North America,Buffalo horn,6 1/4 x 2 1/8 in. (15.88 x 5.41 cm),Anonymous gift,Public domain,1850,North America,
"Self-portrait at the Barbershop, Dublin",https://marble.nd.edu/item/2024.001.079,Father Francis Browne SJ Irish 1880 1960,1940,Photographs,,Gelatin silver print,10 1/4 x 15 3/4 in. (26 x 40 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1940,,
Portrait of Noblewoman,https://marble.nd.edu/item/2024.008.001,Bartolomeo Passarotti Italian 1529 1592,ca. 1575,Paintings,"Europe, Italy",Oil on panel,7 7/8 x 6 in. (20 x 15.24 cm),Bequest of Ernestine Morris Carmichael Raclin,Public domain,1575,Europe,Italy
The Temptation of Saint Anthony,https://marble.nd.edu/item/2024.007.002,Jacques Callot French 1592 1635,1635,Prints,"Europe, France",Etching on laid paper,14 1/8 x 18 1/4 in. (35.8 x 46.5 cm),"Rebecca Nanovic Lin, ND '87 Fund",Public domain,1635,Europe,France
Hush,https://marble.nd.edu/item/2024.015,Marilyn Minter American b 1948,2023,Photographs,,,63 1/2 x 48 1/4 in. (161.13 x 122.4 cm),"Gift of Marilyn Minter and William Miller, ND '73",Copyright,2023,,
Virginia da Vezzo,https://marble.nd.edu/item/2024.016.004,Claude Mellan French 1598 1688,1600-1638,Prints,"Europe, Italy",Engraving on laid paper,8 5/8 x 5 1/2 in. (21.91 x 13.97 cm),Michael and Jeannie O'Neill Fund,Public domain,1619,Europe,Italy
"Portrait of a Man, said to be Louis-François Robin",https://marble.nd.edu/item/2024.008.006,Jean Baptiste Greuze French 1725 1805,1790,Paintings,"Europe, France",Oil on walnut panel,26 1/2 x 21 7/8 in. (67.31 x 55.56 cm),Bequest of Ernestine Morris Carmichael Raclin,Public domain,1790,Europe,France
Pilgrims in a Mountainous Landscape,https://marble.nd.edu/item/2024.008.021,Martin Drlling French 1752 1817,1809,Paintings,"Europe, France",Oil on canvas,17 1/2 x 14 1/2 in. (44.45 x 36.83 cm),Bequest of Ernestine Morris Carmichael Raclin,Public domain,1809,Europe,France
Jesuit Ring,https://marble.nd.edu/item/AA1899.013,Unrecorded Wyandotte artist,ca. 1656-1684,Jewelry,"North America, United States, Northeastern United States",Brass,1 x 1 in. (2.54 x 2.54 cm),"University Collection, by transfer",Public domain,1656,North America,United States
Pair of Moccasins,https://marble.nd.edu/item/AA1899.022,Unrecorded Eastern Woodland Native American artist,ca. 1890,Apparel and Adornments,"North America, United States","Leather, wool, and silk ribbon",11 x 4 x 2 3/4 in. (27.94 x 10.16 x 6.99 cm),"University Collection, by transfer",Public domain,1890,North America,United States
Christ of the Wine Press,https://marble.nd.edu/item/2024.037.003,Hieronymus Wierix Flemish 1553 1619,before 1619,Prints,Europe,Engraving on laid paper,12 1/2 x 9 1/8 in. (31.75 x 23.18 cm),Jeannie and Michael O'Neill Fund,Public domain,1619,Europe,
The Magic Lantern [La lanterne magique],https://marble.nd.edu/item/2024.037.005,Paul Gavarni aka aka Chevalier Hippolyte Guillaume Sulpice French 1804 1866,1854,Prints,"Europe, France",Lithograph on wove paper with chine appliqué,17 1/2 x 12 1/4 in. (44.45 x 31.12 cm),Jeannie and Michael O'Neill Fund,Public domain,1854,Europe,France
One of a Pair of Moccasins,https://marble.nd.edu/item/AA1899.021.001,Unrecorded Iroquois artist,ca. 1900,Apparel and Adornments,"North America, United States, New York","Commercial leather, velvet, glass beads, silk ribbon, cotton thread, wool cloth, cotton cloth, and paper",9 x 3 x 3 1/8 in. (22.86 x 7.62 x 7.94 cm),Gift of Rev. E. W. J. Lindesmith to the University of Notre Dame by transfer,Public domain,1900,North America,United States
Reflection,https://marble.nd.edu/item/2024.008.027,John White Alexander American 1856 1915,1898,Paintings,"North America, United States",Oil on canvas,23 3/4 x 19 1/2 in. (60.33 x 49.53 cm),Bequest of Ernestine Morris Carmichael Raclin,Public domain,1898,North America,United States
Buffalo Horn,https://marble.nd.edu/item/AA1899.024.i,Unrecorded Sioux artist,ca. 1885,"Tools, Implements, and Weights",North America,Buffalo horn,10 1/8 x 2 1/4 x 1 1/2 in. (25.72 x 5.72 x 3.81 cm),Gift of Rev. E. W. J. Lindesmith to the University of Notre Dame by transfer,Public domain,1885,North America,
Stone Faces,https://marble.nd.edu/item/AA1899.033,Unrecorded Plains Native American artist,ca. 1880,Sculpture,"North America, United States",Basalt,4 3/8 x 3 1/4 x 1 7/8 in. (11.11 x 8.26 x 4.76 cm),"University Collection, by transfer",Public domain,1880,North America,United States
Handle,https://marble.nd.edu/item/AA1899.034,Unrecorded Native North American artist,ca. 1880,"Tools, Implements, and Weights","North America, United States",Gray clay,5 x 1 5/8 in. (12.7 x 4.13 cm),"University Collection, by transfer",Public domain,1880,North America,United States
Catlinite Pipe,https://marble.nd.edu/item/AA1995.046.007,Unrecorded Sioux artist,mid-19th century,"Tools, Implements, and Weights","North America, Dakota Territory","Wood, catlinite, and pewter",4 x 18 1/2 in. (10.16 x 46.99 cm),Gift of Rev. E. W. J. Lindesmith to the University of Notre Dame by transfer,Public domain,1850,North America,
Cloth Panel,https://marble.nd.edu/item/AA1995.046.001,Unrecorded Eastern Woodland Native American artist,19th century,Textiles,"North America, United States","Wool, cotton filler, cotton backing, and beads",21 1/4 x 3 5/8 in. (53.98 x 9.35 cm),Anonymous gift,Public domain,1850,North America,United States
Twined Cooking Basket,https://marble.nd.edu/item/AA1999.021.001,Unrecorded Californian Native American artist,ca. 1860,Basketry,"North America, United States, California","Hazel twigs, pine root, bear grass",3 7/8 x 9 in. (10 x 23 cm),Gift of Rev. E. W. J. Lindesmith to the University of Notre Dame by transfer,Public domain,1860,North America,United States
Basket,https://marble.nd.edu/item/AA1995.046.012,Unrecorded Eastern Woodland and Eastern Great Lake Native American artist,late-19th century,Basketry,North America,Poplar with aniline dyes,4 x 9 1/4 in. (10.16 x 23.5 cm),Gift of Rev. E. W. J. Lindesmith to the University of Notre Dame by transfer,Public domain,1850,North America,
Beaded Tourist Object in the Shape of a Woman's Boot,https://marble.nd.edu/item/AA1995.046.005,Unrecorded SkaRuhReh Tuscarora artist Formerly attributed to Unrecorded Tuscarora artist aka Iroquois speaking,late 19th century,Sculpture,"North America, United States, Northeastern United States",Wool and beads,9 1/4 x 5 1/8 x 1/2 in. (23.5 x 13.02 x 1.27 cm),Anonymous gift,Public domain,2026,North America,United States
Beaded Matches Holder,https://marble.nd.edu/item/AA1995.046.006,Unrecorded Tuscarora artist aka Iroquois speaking,late 19th century,"Tools, Implements, and Weights","North America, United States, New York",Wool and beads,5 3/4 x 3 1/2 in. (14.61 x 8.89 cm),Anonymous gift,Public domain,2026,North America,United States
Hot Field Flat,https://marble.nd.edu/item/IL2019.006.001,Sir Anthony Caro British 1924 2013,1973 - 1974,Sculpture,,Steel,99 x 98 x 75 in. (251.46 x 248.92 x 190.5 cm),"Promised gift of Charles S. Hayes, ND ’65 in memory of Burton and Naomi Kanter",Copyright,1973,,
Sky Sentinels,https://marble.nd.edu/item/IL2019.006.002,Louise Nevelson American 1899 1988,1976,sculpture,"North and Central America, United States",painted aluminum,93 x 84 x 64 in. (236.22 x 213.36 x 162.56 cm),Promised gift of Charles Hayes ND ’65 in memory of Burton and Naomi Kanter,Copyright,1976,,United States
"(Len Knight) Taking Shower Before Entering Germicide Tank, for ""Life without Germs,"" LIFE, September 26, 1949, p.109",https://marble.nd.edu/item/L1986.032.002,W Eugene Smith American 1918 1978,1949,Photographs,,Gelatin silver print,13 3/8 x 10 1/4 in. (34.1 x 26 cm),"Lent by Laboratory of Bacteriology, University of Notre Dame (LOBUND)",Copyright,1949,,
"Germless Monkey Removed from Sterile Chamber..., for ""Life without Germs,"" LIFE, September 26, 1949, p.112",https://marble.nd.edu/item/L1986.032.003,W Eugene Smith American 1918 1978,1949,Photographs,,Gelatin silver print,10 3/8 x 13 1/4 in. (26.4 x 33.8 cm),"Lent by Laboratory of Bacteriology, University of Notre Dame (LOBUND)",Copyright,1949,,
Landscape with a Soldier and Two Hermits,https://marble.nd.edu/item/L2007.052,Marco Ricci Italian 1676 1730,ca. 1710,Paintings,"Europe, Italy",Oil on canvas,35 1/2 x 23 7/8 x 2 in. (90.17 x 60.64 x 5.08 cm),Lent by Ernestine Morris Carmichael Raclin,Public domain,1710,Europe,Italy
Three-Pointer Zemi,https://marble.nd.edu/item/L2000.053,Unrecorded Tano artist Formerly attributed to Unidentified Taino artist,1200-1500 CE,Sculpture,,Stone,3 3/8 x 2 1/8 x 4 1/2 in. (8.51 x 5.49 x 11.43 cm),Lent by William Rodriguez,Copyright,1350,,
Madonna and Child with Saints,https://marble.nd.edu/item/1961.064.003,Matteo di Giovanni Italian ca 1430 1495,15th century,Paintings,"Europe, Italy",Oil on panel,30 x 23 x 3 7/8 in. (76.2 x 58.42 x 9.84 cm),Gift of Mr. John F. Cuneo,Public domain,1450,Europe,Italy
View on a Canal,https://marble.nd.edu/item/1961.047.016,Bernardo Bellotto Italian 1721 1780,ca. 1740,Paintings,Europe,Oil on canvas,23 1/2 x 52 1/4 in. (59.69 x 132.72 cm),Gift of the Samuel H. Kress Foundation,Public domain,1740,Europe,
La Revue Blanche,https://marble.nd.edu/item/1961.067,Pierre Bonnard French 1867 1947,1896,Prints,"Europe, France","Lithograph on wove paper, lined",31 3/8 x 24 1/4 in. (79.69 x 61.6 cm),Art Purchases Fund,Public domain,1896,Europe,France
Capital,https://marble.nd.edu/item/1963.006.001,Spanish,11th-12th century,Sculpture,Europe,Limestone,12 x 17 3/8 x 22 1/4 in. (30.48 x 44.13 x 56.52 cm),Gift of Dr. Anthony J. Pisani,Public domain,1150,Europe,
Pictographic War Record,https://marble.nd.edu/item/1963.009.005,White Swan Apsalooke 1851 or 1852 1904,ca. 1887,Paintings,,"Muslin, watercolor, pencil, and ink",74 x 78 in. (187.96 x 198.12 cm),Gift of Rev. E. W. J. Lindesmith to the University of Notre Dame by transfer,Public domain,1887,,
Beaded Sheath for Knife,https://marble.nd.edu/item/1963.009.001,Unrecorded Crow artist,ca. 1880,Arms and Armor,"North America, United States","Beads, leather, sinew, cloth, paint, metal",11 7/8 x 4 in. (30.16 x 10.16 cm),"Transfer from University Archives at the Hesburgh Libraries, University of Notre Dame",Public domain,1880,North America,United States
Birth of the Virgin from the series The Life of the Virgin,https://marble.nd.edu/item/1963.038.002,Jacques Callot French 1592 1635,ca. 1633-1634,Prints,"Europe, France",Etching on laid paper,2 3/4 x 1 3/4 in. (6.99 x 4.45 cm),Art Purchases Fund,Public domain,1633,Europe,France
Flight into Egypt from the series The Life of the Virgin,https://marble.nd.edu/item/1963.038.010,Jacques Callot French 1592 1635,ca. 1633-1634,Prints,"Europe, France",Etching on laid paper,2 3/4 x 1 3/4 in. (6.99 x 4.45 cm),Art Purchases Fund,Public domain,1633,Europe,France
Death of the Virgin from the series The Life of the Virgin,https://marble.nd.edu/item/1963.038.011,Jacques Callot French 1592 1635,ca. 1633-1634,Prints,"Europe, France",Etching on laid paper,2 3/4 x 1 3/4 in. (6.99 x 4.45 cm),Art Purchases Fund,Public domain,1633,Europe,France
Bronco Buster,https://marble.nd.edu/item/1963.041,Frederic Remington American 1861 1909,1895,Sculpture,"North America, United States",Bronze,23 1/2 x 21 x 12 in. (59.69 x 53.34 x 30.48 cm),Gift of Mr. Charles S. Jones,Public domain,1895,North America,United States
The Betrayal of Christ by Judas from The Engraved Passion,https://marble.nd.edu/item/1963.051,Albrecht Drer German 1471 1528,1508,Prints,Europe,Engraving on laid paper,4 1/2 x 2 3/4 in. (11.43 x 6.86 cm),Art Purchases Fund,Public domain,1508,Europe,
"Song, I",https://marble.nd.edu/item/1964.070,Albert Bloch American 1882 1961,1913-1914,Paintings,,Oil on canvas,41 1/2 x 38 in. (105.41 x 96.52 cm),Gift of Mr. Joseph Shapiro,Copyright,1913,,
Standing Angel or An Allegory of Christianity,https://marble.nd.edu/item/1965.002,Hans Sebald Beham German 1500 1550,1515-1550,Prints,,Engraving on laid paper,3 x 1 3/4 in. (7.62 x 4.6 cm),Art Purchases Fund,Public domain,1532,,
Comb,https://marble.nd.edu/item/1967.048.002,French,early 16th century,"Tools, Implements, and Weights","Europe, France",Ivory,5 3/8 x 4 x 1/4 in. (13.65 x 10.16 x 0.64 cm),Gift of Mr. Jack Linsky,Public domain,2018,Europe,France
Comb,https://marble.nd.edu/item/1967.048.003,Italian,ca. 1400,"Tools, Implements, and Weights","Europe, France, Savoy",Ivory,4 1/2 x 5 1/4 x 1/2 in. (11.43 x 13.34 x 1.27 cm),Gift of Mr. Jack Linsky,Public domain,1400,Europe,France
"""The Just, Like Sandalwood, Perfume the Axe That Strikes Them"" [«Le juste, comme le bois de santal, parfume la hache qui le frappe»], plate XLVI from Miserere",https://marble.nd.edu/item/1967.043.002,Georges Rouault French 1871 1958,1926,Prints,,Etching and aquatint over heliogravure on laid paper,25 5/8 x 19 7/8 in. (65.09 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1926,,
Sir Thomas Rokeby,https://marble.nd.edu/item/1969.007,Nicholaes Maes Dutch 1634 1693,1661,Paintings,Europe,Oil on canvas,32 1/4 x 26 in. (81.92 x 66.04 cm),Gift of Wally F. Findlay Galleries International,Public domain,1661,Europe,
"""He That Believeth in Me, Though He Were Dead, yet Shall Live"" [«Celui qui croit en moi, fût-il mort, vivra»], plate XXVIII from Miserere",https://marble.nd.edu/item/1968.075.004,Georges Rouault French 1871 1958,1923,Prints,,Etching and aquatint over heliogravure on laid paper,25 5/8 x 19 7/8 in. (65.09 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1923,,
"From the People and for the People, All Springs and All Must Exist",https://marble.nd.edu/item/1970.038,Corita Kent aka Sister Mary Corita Kent American 1918 1986,1970,Prints,,Screen print on paper,14 1/2 x 10 7/8 in. (36.83 x 27.64 cm),Gift of Mr. Donald H. McGannon,Copyright,1970,,
Soloman Worshipping the Idols,https://marble.nd.edu/item/1970.054,Georg Pencz German ca 1500 1550,ca. 1531,Prints,"Europe, Germany",Engraving on laid paper,1 7/8 x 3 1/8 in. (4.78 x 7.78 cm),Art Puchases Fund,Public domain,1531,Europe,Germany
The Compassion of Pharaoh's Daughter for the Infant Moses,https://marble.nd.edu/item/1970.024.003,Benjamin West American 1738 1820,ca. 1771,Paintings,,Oil on canvas,60 x 46 1/2 in. (152.4 x 118.11 cm),"Gift of Walter and William Klauer, by Exchange",Public domain,1771,,
"Who Does Not Wear a Mask? [Qui ne se grime pas?], plate VIII from Miserere",https://marble.nd.edu/item/1972.005,Georges Rouault French 1871 1958,1923,Prints,,Etching and aquatint over heliogravure on laid paper,25 3/4 x 19 7/8 in. (65.41 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1923,,
"Frontispiece for the First Book of Groups of Children, after François Boucher",https://marble.nd.edu/item/1973.026.C,PierreAlexandre Aveline French 1702 1760 Franois Boucher French 1703 1770,1740-1770,Prints,"Europe, France",Etching on laid paper,12 1/4 x 10 3/4 in. (31.12 x 27.31 cm),Art Purchases Fund,Public domain,1755,Europe,France
"This Will Be the Last Time, Father! [Ce sera la dernière, petit père], plate XXXVI from Miserere",https://marble.nd.edu/item/1972.042.001,Georges Rouault French 1871 1958,1927,Prints,,Etching and aquatint over heliogravure on laid paper,25 5/8 x 19 7/8 in. (65.09 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1927,,
Tidings,https://marble.nd.edu/item/1973.017,Romare Bearden American 1911 1988,ca. 1970,Prints,,Screen print on paper,24 x 18 in. (60.96 x 45.72 cm),Gift of the artist,Copyright,1970,,
Bowl with Whiskered Mythical Being and Centipede,https://marble.nd.edu/item/1972.029.004,Unrecorded Nasca artist,100-500,Vessels,"South America, Peru",Slipped ceramic,3 1/8 x 6 1/2 x 6 1/2 in. (7.95 x 16.51 x 16.51 cm),Art Purchases Fund,Public domain,300,South America,Peru
"Portrait of Velazquez, after Velazquez",https://marble.nd.edu/item/1973.081,Lon Bonnat French 1833 1922,1898,Prints,"Europe, France",Etching on wove paper,17 1/2 x 13 1/2 in. (44.45 x 34.29 cm),Art Purchases Fund,Public domain,1898,Europe,France
"To Love Would Be so Sweet [Il serait si doux d'aimer], plate XIII from Miserere",https://marble.nd.edu/item/1973.090.002,Georges Rouault French 1871 1958,1923,Prints,,Etching and aquatint over heliogravure on laid paper,25 7/8 x 19 7/8 in. (65.72 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1923,,
"Eternally Scourged... [Toujours flagellé...], plate III from Miserere",https://marble.nd.edu/item/1973.090.004,Georges Rouault French 1871 1958,1922,Prints,,Etching and aquatint over heliogravure on laid paper,26 x 19 7/8 in. (66.04 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1922,,
Mercury-Thoth,https://marble.nd.edu/item/1973.079.008,Roman,1st century BCE-1st century CE,Sculpture,"Europe, Greece, Roman Empire",Solid-cast bronze with a modern mount,3 3/8 x 2 1/4 x 3/4 in. (8.64 x 5.84 x 1.78 cm),Gift of Mr. James W. Alsdorf,Public domain,-1,Europe,Greece
"Lonely Sojourner in This Life of Pitfalls and Malice [Solitaire, en cette vie d'embûches et de malices], plate V from Miserere",https://marble.nd.edu/item/1974.108.001,Georges Rouault French 1871 1958,1922,Prints,,Etching and aquatint over heliogravure on laid paper,25 3/4 x 19 7/8 in. (65.41 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1922,,
"In the Old Suburb of Long Suffering [Aux vieux faubourg de longues peines], plate X from Miserere",https://marble.nd.edu/item/1973.090.005,Georges Rouault French 1871 1958,1923,Prints,,Etching and aquatint over heliogravure on laid paper,25 5/8 x 19 7/8 in. (65.09 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1923,,
"Sol, Minor",https://marble.nd.edu/item/1974.088,Richard Anuszkiewicz American b 1930,1967,Paintings,,Liquitex acrylic paint on board,17 5/8 x 17 5/8 in. (44.77 x 44.77 cm),"Gift of Charles A. Wightman, by Exchange",Copyright,1967,,
The Bearing of the Cross,https://marble.nd.edu/item/1974.087,Hendrick Goltzius Dutch 1558 1617,1596-1598,Prints,"Europe, Netherlands",Engraving on laid paper,7 3/4 x 5 in. (19.69 x 12.7 cm),"Gift of Charles A. Wightman, by Exchange",Public domain,1597,Europe,Netherlands
"The Condemned is Led Away... [Le condamné s'en est allé...], plate XVIII from Miserere",https://marble.nd.edu/item/1973.090.006,Georges Rouault French 1871 1958,1922,Prints,,Etching and aquatint over heliogravure on laid paper,25 3/4 x 19 7/8 in. (65.41 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1922,,
"""He Was Oppressed, and He Was Afflicted, yet He Opened Not His Mouth"" [«Il a été maltraité et opprimé et il n'a pas ouvert la bouche»], plate XXI from Miserere",https://marble.nd.edu/item/1974.108.004,Georges Rouault French 1871 1958,1923,Prints,,Etching and aquatint over heliogravure on laid paper,25 3/4 x 19 7/8 in. (65.41 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1923,,
"Beneath a Forgotten Crucifix [Sous un Jésus en crois oublié là], plate XX from Miserere",https://marble.nd.edu/item/1974.108.003,Georges Rouault French 1871 1958,1926,Prints,,Etching and aquatint over heliogravure on laid paper,25 5/8 x 19 7/8 in. (65.09 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1926,,
"""Even the Ruins Have Perished"" [«Les ruines elles-mêmes ont péri»], plate XXXIV from Miserere",https://marble.nd.edu/item/1975.069.002,Georges Rouault French 1871 1958,1926,Prints,,Etching and aquatint over heliogravure on laid paper,25 1/2 x 19 7/8 in. (64.77 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1926,,
"Saint Paul’s Chapel, Gloucester Cathedral",https://marble.nd.edu/item/1975.075,Fredrick H Evans English 1853 1943,ca. 1891,Photographs,"Gloucester, Europe, United Kingdom, Gloucestershire, England",Platinum print,5 1/2 x 3 in. (14 x 7.5 cm),"Mr. and Mrs. Harry Fein Fund in honor of Rev. Theodore Hesburgh, C.S.C",Public domain,1891,Europe,United Kingdom
"Clio, Plate 4 from the series The Nine Muses",https://marble.nd.edu/item/1976.020.003,Hendrick Goltzius Dutch 1558 1617,ca. 1592,Prints,"Europe, Netherlands",Engraving on laid paper,9 5/8 x 6 1/2 in. (24.45 x 16.51 cm),"Gift of Mr. and Mrs. Samuel J. Schatz, by Exchange",Public domain,1592,Europe,Netherlands
"""Winter, Scourge of the Earth"" [«Hiver lèpre de la terre»], plate XXIV from Miserere",https://marble.nd.edu/item/1975.069.003,Georges Rouault French 1871 1958,1922,Prints,,Etching and aquatint over heliogravure on laid paper,26 x 19 3/4 in. (66.04 x 50.17 cm),Gift of Mr. Leonard Scheller,Copyright,1922,,
"The Difficult Task of Living... [Le dur métier de vivre...], plate XII from Miserere",https://marble.nd.edu/item/1977.076.001,Georges Rouault French 1871 1958,1922,Prints,,Etching and aquatint over heliogravure on laid paper,25 7/8 x 19 7/8 in. (65.72 x 50.48 cm),Gift of Mr. Leonard Scheller,Copyright,1922,,
La Buena Fama Durmiendo (Good Reputation Sleeping),https://marble.nd.edu/item/1978.022.C,Manuel lvarez Bravo Mexican 1902 2002,1938; printed ca. 1974,Photographs,,Gelatin silver print,9 3/4 x 13 in. (24.8 x 33 cm),Gift of Carol Lipis,Copyright,1938,,
La Quema (Kiln Number 3),https://marble.nd.edu/item/1978.022.H,Manuel lvarez Bravo Mexican 1902 2002,1957; printed 1974,Photographs,,Gelatin silver print,6 1/2 x 9 3/8 in. (16.4 x 23.8 cm),Gift of Carol Lipis,Copyright,1957,,
"White House, Canyon de Chelly",https://marble.nd.edu/item/1977.103.002,Laura Gilpin American 1891 1979,1930,Photographs,"Chelly, Canyon de, North America, United States, Apache, Arizona",Gelatin silver print on mount,17 3/4 x 14 3/8 in. (45.2 x 36.4 cm),Gift of the artist,Copyright,1930,North America,United States
Los Agachados (The Crouched Ones),https://marble.nd.edu/item/1978.022.K,Manuel lvarez Bravo Mexican 1902 2002,1934; printed 1974,Photographs,,Gelatin silver print,7 x 9 1/4 in. (17.7 x 23.4 cm),Gift of Carol Lipis,Copyright,1934,,
The Infant Hercules,https://marble.nd.edu/item/1978.025.009,Unknown Northern European artist,17th century,Sculpture,"Europe, Northern Europe",Bronze,5 1/4 in. (13.34 cm),Gift of Mr. and Mrs. Noah L. Butkin,Public domain,1650,Europe,
"Wake, from the photoessay ""Spanish Village"" for LIFE magazine, April 9, 1951",https://marble.nd.edu/item/1978.079,W Eugene Smith American 1918 1978,1950,Photographs,,Gelatin silver print,8 3/4 x 13 1/4 in. (22.2 x 33.6 cm),Art Purchases Fund,Copyright,1950,,
Man and His Guitar,https://marble.nd.edu/item/1978.073.002,Rufino Tamayo Mexican 1899 1991,1959,Paintings,"North America, Mexico, Oaxaca",Oil on Masonite,32 x 39 3/8 in. (81.28 x 100.01 cm),Gift of Mr. Walter R. Beardsley,Copyright,1959,North America,Mexico
"Westminster Abbey, London, England",https://marble.nd.edu/item/1978.081.133,Francis Godolphin Osbourne Stuart British 1843 1923,ca. 1880,Photographs,"Europe, United Kingdom, England",Albumen print from wet collodion negative,7 3/8 x 9 3/8 in. (18.6 x 23.9 cm),Gift of Janos Scholz,Public domain,1880,Europe,United Kingdom
Ruins of Pompeii,https://marble.nd.edu/item/1978.081.159,Giorgio Sommer Italian 1834 1914,ca. 1870,Photographs,"Europe, Italy",Albumen print from wet collodion negative,8 x 9 5/8 in. (20.2 x 24.4 cm),Gift of Janos Scholz,Public domain,1870,Europe,Italy
